2019-04-29 18:41:15,764 | Habitos - LOGIN |INFO | browser gets open
2019-04-29 18:41:21,701 | Habitos - LOGIN |INFO | browser gets valid ip address
2019-04-29 18:41:22,256 | Habitos - LOGIN |INFO | Verify that if the User Name field is present 
2019-04-29 18:41:22,297 | Habitos - LOGIN |INFO | Verify that if the username fields get autofocus
2019-04-29 18:41:22,787 | Habitos - LOGIN |INFO | Verify that if the Password  field is present 
2019-04-29 18:41:22,819 | Habitos - LOGIN |INFO | Verify that if the password fields get focused
2019-04-29 18:41:23,992 | Habitos - LOGIN |INFO | Verify that if the user can't able to login with Invalid credentials
2019-04-29 18:41:24,309 | Habitos - LOGIN |INFO | Verify that if the User Name field is present 
2019-04-29 18:41:24,336 | Habitos - LOGIN |INFO | Verify that if the username fields get autofocus
2019-04-29 18:41:24,827 | Habitos - LOGIN |INFO | Verify that if the Password  field is present 
2019-04-29 18:41:24,865 | Habitos - LOGIN |INFO | Verify that if the password fields get focused
2019-04-29 18:41:25,611 | Habitos - LOGIN |INFO | Verify that if the user can't able to login with Invalid credentials
2019-04-29 18:41:25,898 | Habitos - LOGIN |INFO | Verify that if the username fields get autofocus
2019-04-29 18:41:26,290 | Habitos - LOGIN |INFO | Verify that if the user can enter the user name
2019-04-29 18:41:26,492 | Habitos - LOGIN |INFO | Verify that if the password fields get focused
2019-04-29 18:41:26,719 | Habitos - LOGIN |INFO | Verify that user can login with valid credentials
2019-04-30 18:24:29,613 | Habitos - LOGIN |INFO | browser gets open
2019-04-30 18:24:36,130 | Habitos - LOGIN |INFO | browser gets valid ip address
2019-05-02 18:06:32,406 | Habitos - LOGIN |INFO | browser gets open
2019-05-02 18:06:38,847 | Habitos - LOGIN |INFO | browser gets valid ip address
2019-05-02 18:18:16,206 | Habitos - LOGIN |INFO | browser gets open
2019-05-02 18:18:22,407 | Habitos - LOGIN |INFO | browser gets valid ip address
2019-05-02 18:18:22,722 | Habitos - LOGIN |INFO | Verify that if the User Name field is present 
2019-05-02 18:18:22,745 | Habitos - LOGIN |INFO | Verify that if the username fields get autofocus
2019-05-02 18:18:23,019 | Habitos - LOGIN |INFO | Verify that if the Password  field is present 
2019-05-02 18:18:23,041 | Habitos - LOGIN |INFO | Verify that if the password fields get focused
2019-05-02 18:18:23,912 | Habitos - LOGIN |INFO | Verify that if the user can't able to login with Invalid credentials
2019-05-02 18:18:24,146 | Habitos - LOGIN |INFO | Verify that if the User Name field is present 
2019-05-02 18:18:24,165 | Habitos - LOGIN |INFO | Verify that if the username fields get autofocus
2019-05-02 18:18:24,410 | Habitos - LOGIN |INFO | Verify that if the Password  field is present 
2019-05-02 18:18:24,428 | Habitos - LOGIN |INFO | Verify that if the password fields get focused
2019-05-02 18:18:24,823 | Habitos - LOGIN |INFO | Verify that if the user can't able to login with Invalid credentials
2019-05-02 18:18:25,006 | Habitos - LOGIN |INFO | Verify that if the username fields get autofocus
2019-05-02 18:18:25,252 | Habitos - LOGIN |INFO | Verify that if the user can enter the user name
2019-05-02 18:18:25,388 | Habitos - LOGIN |INFO | Verify that if the password fields get focused
2019-05-02 18:18:25,552 | Habitos - LOGIN |INFO | Verify that user can login with valid credentials
2019-05-03 17:34:02,224 | Habitos - LOGIN |INFO | browser gets open
2019-05-03 17:34:08,415 | Habitos - LOGIN |INFO | browser gets valid ip address
2019-05-03 17:34:09,152 | Habitos - LOGIN |INFO | Verify that if the User Name field is present 
2019-05-03 17:34:09,179 | Habitos - LOGIN |INFO | Verify that if the username fields get autofocus
2019-05-03 17:34:09,617 | Habitos - LOGIN |INFO | Verify that if the Password  field is present 
2019-05-03 17:34:09,705 | Habitos - LOGIN |INFO | Verify that if the password fields get focused
2019-05-03 17:34:10,823 | Habitos - LOGIN |INFO | Verify that if the user can't able to login with Invalid credentials
2019-05-03 17:34:11,095 | Habitos - LOGIN |INFO | Verify that if the User Name field is present 
2019-05-03 17:34:11,169 | Habitos - LOGIN |INFO | Verify that if the username fields get autofocus
2019-05-03 17:34:11,520 | Habitos - LOGIN |INFO | Verify that if the Password  field is present 
2019-05-03 17:34:11,553 | Habitos - LOGIN |INFO | Verify that if the password fields get focused
2019-05-03 17:34:11,979 | Habitos - LOGIN |INFO | Verify that if the user can't able to login with Invalid credentials
2019-05-03 17:34:12,171 | Habitos - LOGIN |INFO | Verify that if the username fields get autofocus
2019-05-03 17:34:12,485 | Habitos - LOGIN |INFO | Verify that if the user can enter the user name
2019-05-03 17:34:12,646 | Habitos - LOGIN |INFO | Verify that if the password fields get focused
2019-05-03 17:34:12,918 | Habitos - LOGIN |INFO | Verify that user can login with valid credentials
2019-05-03 17:34:44,811 | Habitos - LOGIN |INFO | browser gets open
2019-05-03 17:34:51,261 | Habitos - LOGIN |INFO | browser gets valid ip address
2019-05-03 17:34:52,171 | Habitos - LOGIN |INFO | Verify that if the User Name field is present 
2019-05-03 17:34:52,255 | Habitos - LOGIN |INFO | Verify that if the username fields get autofocus
2019-05-03 17:34:53,025 | Habitos - LOGIN |INFO | Verify that if the Password  field is present 
2019-05-03 17:34:53,111 | Habitos - LOGIN |INFO | Verify that if the password fields get focused
2019-05-03 17:34:54,720 | Habitos - LOGIN |INFO | Verify that if the user can't able to login with Invalid credentials
2019-05-03 17:34:55,000 | Habitos - LOGIN |INFO | Verify that if the User Name field is present 
2019-05-03 17:34:55,049 | Habitos - LOGIN |INFO | Verify that if the username fields get autofocus
2019-05-03 17:34:55,544 | Habitos - LOGIN |INFO | Verify that if the Password  field is present 
2019-05-03 17:34:55,633 | Habitos - LOGIN |INFO | Verify that if the password fields get focused
2019-05-03 17:34:56,623 | Habitos - LOGIN |INFO | Verify that if the user can't able to login with Invalid credentials
2019-05-03 17:34:56,917 | Habitos - LOGIN |INFO | Verify that if the username fields get autofocus
2019-05-03 17:34:57,369 | Habitos - LOGIN |INFO | Verify that if the user can enter the user name
2019-05-03 17:34:57,599 | Habitos - LOGIN |INFO | Verify that if the password fields get focused
2019-05-03 17:34:57,947 | Habitos - LOGIN |INFO | Verify that user can login with valid credentials
